report_id,date_reported,date_occurred,time_occurred,area_code,area_name,reporting_district,crime_part,crime_code,crime_description,modus_operandi,victim_age,victim_sex,victim_descent,premise_code,premise_description,weapon_code,weapon_description,status_code,status_description,crime_code_1,crime_code_2,crime_code_3,crime_code_4,location,cross_street,latitude,longitude
190326475,2020-03-01,2020-03-01,2130,7,Wilshire,784,1,510,VEHICLE - STOLEN,,0,M,O,101,STREET,,,AA,Adult Arrest,510,998.0,,,1900 S  LONGWOOD                     AV,,34.0375,-118.3506
200106753,2020-02-09,2020-02-08,1800,1,Central,182,1,330,BURGLARY FROM VEHICLE,1822 1402 0344,47,M,O,128,BUS STOP/LAYOVER (ALSO QUERY 124),,,IC,Invest Cont,330,998.0,,,1000 S  FLOWER                       ST,,34.0444,-118.2628
200320258,2020-11-11,2020-11-04,1700,3,Southwest,356,1,480,BIKE - STOLEN,0344 1251,19,X,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,480,,,,1400 W  37TH                         ST,,34.021,-118.3002
200907217,2023-05-10,2020-03-10,2037,9,Van Nuys,964,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0325 1501,19,M,O,405,CLOTHING STORE,,,IC,Invest Cont,343,,,,14000    RIVERSIDE                    DR,,34.1576,-118.4387
200412582,2020-09-09,2020-09-09,630,4,Hollenbeck,413,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,200 E  AVENUE 28,,34.082,-118.213
200209713,2020-05-03,2020-05-02,1800,2,Rampart,245,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,2500 W  4TH                          ST,,34.0642,-118.2771
200200759,2020-07-07,2020-07-07,1340,2,Rampart,265,1,648,ARSON,0329 1402 2004 1501,0,X,X,101,STREET,,,IC,Invest Cont,648,998.0,,,JAMES M WOOD,ALVARADO,34.0536,-118.2788
201308739,2020-03-27,2020-03-27,1210,13,Newton,1333,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,3200 S  SAN PEDRO                    ST,,34.017,-118.2643
201112065,2020-07-31,2020-07-30,2030,11,Northeast,1161,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AA,Adult Arrest,510,,,,KENMORE                      ST,FOUNTAIN,34.0953,-118.2974
200121929,2020-12-04,2020-12-03,2300,1,Central,105,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,400    SOLANO                       AV,,34.071,-118.2302
201215394,2020-06-26,2020-06-25,2200,12,77th Street,1259,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,FLORENCE,WADSWORTH,33.9747,-118.2587
200406391,2020-03-02,2020-03-01,1430,4,Hollenbeck,407,1,310,BURGLARY,0344 1607,27,M,W,221,PUBLIC STORAGE,,,IC,Invest Cont,310,,,,4500    HUNTINGTON DR,,34.0881,-118.1877
200114396,2020-07-06,2020-07-04,100,1,Central,157,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,6TH                          ST,CROCKER,34.0423,-118.2453
200912561,2020-07-20,2020-07-20,700,9,Van Nuys,937,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,BESSEMER,RANCHITO,34.1812,-118.4356
200207955,2020-03-19,2020-03-19,130,2,Rampart,236,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1900    MIRAMAR                      ST,,34.0632,-118.2693
200112598,2020-06-01,2020-05-30,30,1,Central,153,1,310,BURGLARY,1609 0344,0,M,W,201,JEWELRY STORE,,,AA,Adult Arrest,310,,,,600 S  BROADWAY,,34.0467,-118.252
200905707,2020-02-08,2020-02-07,2000,9,Van Nuys,939,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AO,Adult Other,510,,,,AETNA,ATOLL,34.1803,-118.4204
200215463,2020-09-26,2020-09-25,1900,2,Rampart,237,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1600 W  COURT                        ST,,34.0668,-118.2627
200308100,2020-03-07,2020-03-06,2200,3,Southwest,317,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,VERMONT,24TH,34.0344,-118.2915
200606074,2020-02-12,2020-02-07,1615,6,Hollywood,646,2,805,PIMPING,1300 1402,23,F,H,101,STREET,,,AA,Adult Arrest,805,998.0,,,HOLLYWOOD,MC CADDEN,34.1016,-118.337
200517540,2020-12-07,2020-11-30,2255,5,Harbor,541,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1400    BRETT                        PL,,33.7553,-118.3056
200506977,2020-03-10,2020-02-22,30,5,Harbor,511,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AA,Adult Arrest,510,,,,1600 W  PACIFIC COAST                HY,,33.7926,-118.3043
201110303,2020-06-11,2020-06-08,2000,11,Northeast,1118,1,310,BURGLARY,0344 1607,0,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,100    AVENUE 56,,34.1089,-118.1942
201000767,2020-07-14,2020-07-13,2000,10,West Valley,1043,1,330,BURGLARY FROM VEHICLE,0344 1602 1822 1402,41,M,W,108,PARKING LOT,,,AA,Adult Arrest,330,998.0,,,18600    HATTERAS                     ST,,34.1774,-118.5387
200510354,2020-06-08,2020-06-08,330,5,Harbor,587,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,2900 S  KERCKHOFF                    AV,,33.7179,-118.2898
200410136,2020-06-24,2020-06-24,700,4,Hollenbeck,413,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,300 E  AVENUE 31,,34.0809,-118.2132
200814461,2020-09-24,2020-09-24,1710,8,West LA,898,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,ROBERTSON                    BL,GIBSON                       ST,34.0375,-118.3886
201215562,2020-06-29,2020-06-29,730,12,77th Street,1263,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,81ST,DENKER,33.9655,-118.3046
200210168,2020-05-14,2020-05-12,2100,2,Rampart,266,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,700 S  UNION                        AV,,34.0531,-118.2738
200714301,2020-09-27,2020-09-22,1430,7,Wilshire,702,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,800 N  FULLER                       AV,,34.0853,-118.3499
200906009,2020-02-14,2020-02-13,2230,9,Van Nuys,914,2,806,PANDERING,0908 1212 1402,0,F,X,101,STREET,,,AO,Adult Other,806,998.0,,,SEPULVEDA,BASSETT,34.1958,-118.4662
200218448,2020-12-11,2020-12-10,2000,2,Rampart,271,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,900 S  ALVARADO                     ST,,34.0529,-118.2819
200618540,2020-11-27,2020-11-27,950,6,Hollywood,642,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,ORANGE,SUNSET,34.0981,-118.3577
200316510,2020-08-30,2020-08-29,2050,3,Southwest,333,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AO,Adult Other,510,,,,JEFFERSON,HARCOURT,34.0278,-118.3378
200504009,2020-01-01,2020-01-01,2100,5,Harbor,526,2,946,OTHER MISCELLANEOUS CRIME,1501 0906 1816,0,X,X,101,STREET,,,AA,Adult Arrest,946,,,,G,ISLAND,33.7783,-118.2662
200808682,2020-04-25,2020-04-21,1400,8,West LA,858,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,8800 W  PICO                         BL,,34.0548,-118.3837
200810737,2020-06-17,2020-06-16,1600,8,West LA,829,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1300    WOODRUFF                     AV,,34.0633,-118.4292
201116973,2020-12-26,2020-12-26,332,11,Northeast,1169,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,200 S  AVENUE 51,,34.1038,-118.1987
200510994,2020-06-25,2020-06-25,230,5,Harbor,563,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,14TH                         ST,PACIFIC                      AV,33.7315,-118.2879
201107590,2020-03-22,2020-03-21,2000,11,Northeast,1137,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,700 N  AVENUE 50,,34.1109,-118.2016
200119680,2020-10-19,2020-10-18,1800,1,Central,159,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,1800    CONWAY                       PL,,34.0366,-118.2325
200410224,2020-06-27,2020-06-27,400,4,Hollenbeck,471,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,4TH,CLARENCE,34.0427,-118.2237
200412621,2020-09-10,2020-09-09,1800,4,Hollenbeck,467,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,100 S  SOTO                         ST,,34.0424,-118.2107
201106871,2020-03-04,2020-03-02,2130,11,Northeast,1107,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,50,M,H,101,STREET,,,IC,Invest Cont,745,,,,6100    DELPHI                       ST,,34.1241,-118.1878
200111627,2020-05-12,2020-05-10,2200,1,Central,111,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 0913,30,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,998.0,,,700 N  HILL                         PL,,34.0618,-118.2424
200109800,2020-03-29,2020-03-29,930,1,Central,163,1,330,BURGLARY FROM VEHICLE,1307 1822 0377 0329 1414 1609 0344,0,M,W,103,ALLEY,,,IC,Invest Cont,330,,,,9TH,MAIN,34.0416,-118.255
201225656,2020-12-02,2020-12-02,2245,12,77th Street,1268,1,210,ROBBERY,0344 0305 0355,21,M,H,101,STREET,511.0,VERBAL THREAT,IC,Invest Cont,210,,,,SAN PEDRO,85TH                         ST,33.961,-118.2695
200309451,2020-04-04,2020-04-04,1210,3,Southwest,361,1,310,BURGLARY,0329 0325 0344 1601,19,X,X,301,GAS STATION,,,IC,Invest Cont,310,,,,3700 S  LA BREA                      AV,,34.0199,-118.3556
